year,GPR_global
1995,85.53733698527019
1996,74.67454210917155
1997,50.914693196614586
1998,68.46944268544515
1999,73.97799110412598
2000,57.41528511047363
2001,168.82917340596518
2002,156.04216702779135
2003,176.30156326293945
2004,129.39623641967773
2005,101.53898938496907
2006,104.03534698486328
2007,93.73795509338379
2008,81.19649124145508
2009,83.1018575032552
2010,84.17017555236816
2011,90.0953877766927
2012,81.47523371378581
2013,83.03660519917806
2014,100.29158528645833
2015,105.95364507039388
2016,98.6786880493164
2017,107.37731170654297
2018,98.5529073079427
2019,90.94625282287598
2020,77.29380416870117
2021,82.07023620605469
2022,157.58319346110025
2023,121.7112553914388
