case_id,sanctioned_state,sanctioning_state,begin,end,trade,descr_trade,arms,military,financial,travel,other,target_mult,sender_mult,objective,success
1,German Democratic Republic,Germany,1949,1973,0,,0,0,0,0,1,0,0,territorial_conflict,success_total
2,Pakistan,India,1949,1951,1,"exp_compl,imp_compl",0,0,0,0,0,0,0,policy_change,nego_settlement
3,Bulgaria,United States,1950,1963,0,,0,0,1,0,0,0,0,destab_regime,success_part
4,Bulgaria,United States,1950,1966,0,,0,0,0,0,1,0,0,destab_regime,failed
5,Bulgaria,United States,1950,1959,0,,0,0,0,1,0,0,0,destab_regime,success_part
6,China,CoCom,1950,1985,1,exp_part,0,0,0,0,0,0,1,destab_regime,nego_settlement
7,China,New Zealand,1950,1956,1,exp_part,0,0,0,0,0,0,0,destab_regime,failed
8,China,Organization of American States,1950,1985,1,exp_part,0,0,0,0,0,0,1,destab_regime,failed
9,China,South Africa,1950,1985,1,exp_part,0,0,0,0,0,0,0,destab_regime,failed
10,China,United Kingdom,1950,1956,1,exp_part,0,0,0,0,0,0,0,destab_regime,failed
11,China,United States,1950,1972,1,"exp_compl,imp_compl",0,0,0,1,0,0,0,destab_regime,nego_settlement
12,Comecon,"Austria, Finland, Sweden, Switzerland",1950,1994,1,exp_part,0,0,0,0,0,1,1,"prevent_war,policy_change","success_total,failed"
13,Comecon,CoCom,1950,1994,1,exp_part,0,0,0,0,0,1,1,"prevent_war,policy_change","success_total,failed"
14,Israel,"Egypt, Arab Rep.",1950,1957,1,"exp_compl,imp_compl",0,0,0,0,1,0,0,prevent_war,failed
15,Israel,France,1950,1955,0,,1,0,0,0,0,0,0,prevent_war,failed
16,Israel,League of Arab States,1950,2023,1,"exp_compl,imp_compl",0,0,0,0,0,0,1,territorial_conflict,ongoing
17,"Korea, North",United States,1950,1954,1,"exp_compl,imp_compl",0,0,1,0,0,0,0,end_war,success_total
18,Palestine,League of Arab States,1950,1994,1,"exp_compl,imp_compl",0,0,0,0,0,0,1,territorial_conflict,failed
19,Taiwan,United States,1950,1953,0,,0,0,0,0,1,0,0,prevent_war,success_total
20,Yugoslavia,Soviet Union,1950,1955,1,"exp_compl,imp_compl",0,0,0,0,0,0,0,policy_change,success_part
21,China,Hong Kong,1951,1954,1,exp_part,0,0,0,0,0,0,0,destab_regime,failed
