conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
11342,India,Government of India,141,NA,GNLA,1163,NA,1,Garoland,2012,1,0,3,1997-05-29,1,2012-11-15,1,1,2012-12-21,NA,750,NA,NA,NA,750,3,24.1
11342,India,Government of India,141,NA,GNLA,1163,NA,1,Garoland,2014,1,0,3,1997-05-29,1,2014-07-01,1,1,2014-11-27,NA,750,NA,NA,NA,750,3,24.1
11343,"Egypt, Israel",Government of Egypt,117,NA,Government of Israel,121,NA,1,Suez/Sinai,1967,2,1,2,1967-06-05,1,1967-06-05,1,1,1967-06-10,NA,651,NA,666,NA,"651, 666",2,24.1
11343,"Egypt, Israel",Government of Egypt,117,NA,Government of Israel,121,NA,1,Suez/Sinai,1969,1,1,2,1967-06-05,1,1969-03-06,1,0,NA,NA,651,NA,666,NA,"651, 666",2,24.1
11343,"Egypt, Israel",Government of Egypt,117,NA,Government of Israel,121,NA,1,Suez/Sinai,1970,1,1,2,1967-06-05,1,1969-03-06,1,1,1970-08-07,NA,651,NA,666,NA,"651, 666",2,24.1
11343,"Egypt, Israel",Government of Egypt,117,NA,Government of Israel,121,NA,1,Suez/Sinai,1973,2,1,2,1967-06-05,1,1973-10-06,1,1,1973-10-24,NA,651,NA,666,NA,"651, 666",2,24.1
11344,Sudan,Government of Sudan,112,NA,Republic of South Sudan,1129,NA,1,Abyei,2011,1,0,3,2011-05-01,1,2011-05-19,1,1,2011-06-15,NA,625,NA,NA,NA,625,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,"SSDM/A, SSLM/A","1108, 1124",NA,2,NA,2011,1,0,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,SSLM/A,1124,NA,2,NA,2012,1,0,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,"SPLM/A - IO, SSDM/A - Cobra Faction","3563, 4226",NA,2,NA,2013,1,1,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,NA,2,NA,2014,2,1,4,2011-08-20,2,2011-08-20,2,0,NA,NA,626,500,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,NA,2,NA,2015,1,1,4,2011-08-20,2,2011-08-20,2,0,NA,NA,626,500,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,SPLM/A - IO,4226,NA,2,NA,2016,1,1,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,SPLM/A - IO,4226,NA,2,NA,2017,1,1,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,SPLM/A - IO,4226,NA,2,NA,2018,1,1,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,NAS,6794,NA,2,NA,2019,1,1,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,NAS,6794,NA,2,NA,2020,1,1,3,2011-08-20,2,2011-08-20,2,0,NA,NA,626,NA,NA,NA,626,4,24.1
11345,South Sudan,Government of South Sudan,113,NA,"NAS, SPLM/A - IO - Kitgwang","6794, 8201",NA,2,NA,2021,1,1,3,2011-08-20,2,2011-08-20,2,1,2021-12-27,NA,626,NA,NA,NA,626,4,24.1
11346,Libya,Government of Libya,111,Government of Zimbabwe (Rhodesia),"Forces of Muammar Gaddafi, NTC","1126, 1127",NA,2,NA,2011,2,1,4,2011-02-28,1,2011-03-04,1,1,2011-11-23,NA,620,552,NA,NA,620,4,24.1
11346,Libya,Government of Libya,111,NA,ASL,7046,NA,2,NA,2013,1,1,3,2011-02-28,1,2013-11-29,1,0,NA,NA,620,NA,NA,NA,620,4,24.1
11346,Libya,Government of Libya,111,NA,"Forces of the House of Representatives, Zintan Military Council","5802, 5940",NA,2,NA,2014,1,1,3,2011-02-28,1,2013-11-29,1,0,NA,NA,620,NA,NA,NA,620,4,24.1
11346,Libya,Government of Libya,111,NA,Forces of the House of Representatives,5802,NA,2,NA,2015,1,1,3,2011-02-28,1,2013-11-29,1,1,2015-04-19,NA,620,NA,NA,NA,620,4,24.1
11346,Libya,Government of Libya,111,NA,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL","5802, 6814, 6893",NA,2,NA,2017,1,1,3,2011-02-28,1,2017-05-18,1,1,2017-11-12,NA,620,NA,NA,NA,620,4,24.1
11346,Libya,Government of Libya,111,NA,Forces of the House of Representatives,5802,"Government of Sudan, Government of United Arab Emirates",2,NA,2019,2,1,4,2011-02-28,1,2019-02-21,2,0,NA,NA,620,NA,NA,"625, 696",620,4,24.1
11346,Libya,Government of Libya,111,Government of Turkey,Forces of the House of Representatives,5802,NA,2,NA,2020,1,1,4,2011-02-28,1,2019-02-21,2,1,2020-10-31,NA,620,640,NA,NA,620,4,24.1
