"","country_text_id","country_id","year","v2x_libdem"
"1","MEX",3,1995,0.275
"2","MEX",3,1996,0.289
"3","MEX",3,1997,0.349
"4","MEX",3,1998,0.377
"5","MEX",3,1999,0.38
"6","MEX",3,2000,0.481
"7","MEX",3,2001,0.489
"8","MEX",3,2002,0.495
"9","MEX",3,2003,0.502
"10","MEX",3,2004,0.511
"11","MEX",3,2005,0.511
"12","MEX",3,2006,0.479
"13","MEX",3,2007,0.452
"14","MEX",3,2008,0.455
"15","MEX",3,2009,0.46
"16","MEX",3,2010,0.47
"17","MEX",3,2011,0.469
"18","MEX",3,2012,0.461
"19","MEX",3,2013,0.425
"20","MEX",3,2014,0.424
"21","MEX",3,2015,0.433
"22","MEX",3,2016,0.433
"23","MEX",3,2017,0.439
"24","MEX",3,2018,0.455
"25","MEX",3,2019,0.434
"26","MEX",3,2020,0.406
"27","MEX",3,2021,0.37
"28","MEX",3,2022,0.334
"29","MEX",3,2023,0.307
"30","MEX",3,2024,0.251
"31","SUR",4,1995,0.642
"32","SUR",4,1996,0.653
"33","SUR",4,1997,0.658
"34","SUR",4,1998,0.658
"35","SUR",4,1999,0.658
"36","SUR",4,2000,0.667
"37","SUR",4,2001,0.665
"38","SUR",4,2002,0.665
"39","SUR",4,2003,0.665
"40","SUR",4,2004,0.665
"41","SUR",4,2005,0.661
"42","SUR",4,2006,0.658
"43","SUR",4,2007,0.657
"44","SUR",4,2008,0.658
"45","SUR",4,2009,0.658
"46","SUR",4,2010,0.637
"47","SUR",4,2011,0.629
"48","SUR",4,2012,0.63
"49","SUR",4,2013,0.631
"50","SUR",4,2014,0.631
"51","SUR",4,2015,0.637
"52","SUR",4,2016,0.63
"53","SUR",4,2017,0.632
"54","SUR",4,2018,0.622
"55","SUR",4,2019,0.593
"56","SUR",4,2020,0.641
"57","SUR",4,2021,0.643
"58","SUR",4,2022,0.655
"59","SUR",4,2023,0.639
"60","SUR",4,2024,0.637
"61","SWE",5,1995,0.878
"62","SWE",5,1996,0.878
"63","SWE",5,1997,0.878
"64","SWE",5,1998,0.878
"65","SWE",5,1999,0.877
"66","SWE",5,2000,0.877
"67","SWE",5,2001,0.877
"68","SWE",5,2002,0.876
"69","SWE",5,2003,0.874
"70","SWE",5,2004,0.874
"71","SWE",5,2005,0.874
"72","SWE",5,2006,0.877
"73","SWE",5,2007,0.881
"74","SWE",5,2008,0.881
"75","SWE",5,2009,0.881
"76","SWE",5,2010,0.882
"77","SWE",5,2011,0.884
"78","SWE",5,2012,0.887
"79","SWE",5,2013,0.887
"80","SWE",5,2014,0.886
"81","SWE",5,2015,0.883
"82","SWE",5,2016,0.884
"83","SWE",5,2017,0.884
"84","SWE",5,2018,0.878
"85","SWE",5,2019,0.871
"86","SWE",5,2020,0.87
"87","SWE",5,2021,0.869
"88","SWE",5,2022,0.864
"89","SWE",5,2023,0.845
"90","SWE",5,2024,0.845
"91","CHE",6,1995,0.833
"92","CHE",6,1996,0.838
"93","CHE",6,1997,0.838
"94","CHE",6,1998,0.838
"95","CHE",6,1999,0.838
"96","CHE",6,2000,0.838
"97","CHE",6,2001,0.838
"98","CHE",6,2002,0.839
"99","CHE",6,2003,0.843
"100","CHE",6,2004,0.843
"101","CHE",6,2005,0.843
"102","CHE",6,2006,0.843
"103","CHE",6,2007,0.845
"104","CHE",6,2008,0.852
"105","CHE",6,2009,0.852
"106","CHE",6,2010,0.851
"107","CHE",6,2011,0.853
"108","CHE",6,2012,0.861
"109","CHE",6,2013,0.861
"110","CHE",6,2014,0.861
"111","CHE",6,2015,0.86
"112","CHE",6,2016,0.858
"113","CHE",6,2017,0.867
"114","CHE",6,2018,0.867
"115","CHE",6,2019,0.866
"116","CHE",6,2020,0.856
"117","CHE",6,2021,0.851
"118","CHE",6,2022,0.851
"119","CHE",6,2023,0.841
"120","CHE",6,2024,0.847
"121","GHA",7,1995,0.401
"122","GHA",7,1996,0.43
"123","GHA",7,1997,0.51
"124","GHA",7,1998,0.51
"125","GHA",7,1999,0.515
"126","GHA",7,2000,0.58
"127","GHA",7,2001,0.628
"128","GHA",7,2002,0.635
"129","GHA",7,2003,0.638
"130","GHA",7,2004,0.648
"131","GHA",7,2005,0.639
"132","GHA",7,2006,0.639
"133","GHA",7,2007,0.64
"134","GHA",7,2008,0.639
"135","GHA",7,2009,0.659
"136","GHA",7,2010,0.671
"137","GHA",7,2011,0.671
"138","GHA",7,2012,0.67
"139","GHA",7,2013,0.643
"140","GHA",7,2014,0.636
"141","GHA",7,2015,0.633
"142","GHA",7,2016,0.618
"143","GHA",7,2017,0.636
"144","GHA",7,2018,0.632
"145","GHA",7,2019,0.613
"146","GHA",7,2020,0.606
"147","GHA",7,2021,0.56
"148","GHA",7,2022,0.56
"149","GHA",7,2023,0.561
"150","GHA",7,2024,0.567
"151","ZAF",8,1995,0.521
"152","ZAF",8,1996,0.553
"153","ZAF",8,1997,0.553
"154","ZAF",8,1998,0.554
"155","ZAF",8,1999,0.59
"156","ZAF",8,2000,0.628
"157","ZAF",8,2001,0.628
"158","ZAF",8,2002,0.628
"159","ZAF",8,2003,0.627
"160","ZAF",8,2004,0.637
"161","ZAF",8,2005,0.647
"162","ZAF",8,2006,0.648
"163","ZAF",8,2007,0.651
"164","ZAF",8,2008,0.648
"165","ZAF",8,2009,0.65
"166","ZAF",8,2010,0.662
"167","ZAF",8,2011,0.658
"168","ZAF",8,2012,0.661
"169","ZAF",8,2013,0.645
"170","ZAF",8,2014,0.637
"171","ZAF",8,2015,0.649
"172","ZAF",8,2016,0.646
"173","ZAF",8,2017,0.627
"174","ZAF",8,2018,0.639
"175","ZAF",8,2019,0.617
"176","ZAF",8,2020,0.606
"177","ZAF",8,2021,0.607
"178","ZAF",8,2022,0.605
"179","ZAF",8,2023,0.6
"180","ZAF",8,2024,0.652
"181","JPN",9,1995,0.768
"182","JPN",9,1996,0.768
"183","JPN",9,1997,0.768
"184","JPN",9,1998,0.768
"185","JPN",9,1999,0.768
"186","JPN",9,2000,0.77
"187","JPN",9,2001,0.77
"188","JPN",9,2002,0.77
"189","JPN",9,2003,0.77
"190","JPN",9,2004,0.77
"191","JPN",9,2005,0.772
"192","JPN",9,2006,0.777
"193","JPN",9,2007,0.777
"194","JPN",9,2008,0.781
"195","JPN",9,2009,0.785
"196","JPN",9,2010,0.783
"197","JPN",9,2011,0.783
"198","JPN",9,2012,0.776
"199","JPN",9,2013,0.749
"200","JPN",9,2014,0.747
"201","JPN",9,2015,0.748
"202","JPN",9,2016,0.748
"203","JPN",9,2017,0.747
"204","JPN",9,2018,0.76
"205","JPN",9,2019,0.762
"206","JPN",9,2020,0.748
"207","JPN",9,2021,0.738
"208","JPN",9,2022,0.738
"209","JPN",9,2023,0.742
"210","JPN",9,2024,0.734
"211","MMR",10,1995,0.017
"212","MMR",10,1996,0.017
"213","MMR",10,1997,0.017
"214","MMR",10,1998,0.017
"215","MMR",10,1999,0.017
"216","MMR",10,2000,0.017
"217","MMR",10,2001,0.017
"218","MMR",10,2002,0.017
"219","MMR",10,2003,0.017
"220","MMR",10,2004,0.017
"221","MMR",10,2005,0.017
"222","MMR",10,2006,0.017
"223","MMR",10,2007,0.017
"224","MMR",10,2008,0.018
"225","MMR",10,2009,0.018
